video_id,category,channel_id,engagement_rate_label,q_score,video_link
nehrVdADdH0,Film & Animation,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.9703640982218459,https://www.youtube.com/watch?v=nehrVdADdH0
K66wOEaBwK4,Comedy,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.950069556716923,https://www.youtube.com/watch?v=K66wOEaBwK4
D00vn3X7oI8,Entertainment,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.8969199452731338,https://www.youtube.com/watch?v=D00vn3X7oI8
G22G1k3G-kM,Entertainment,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.930209340284931,https://www.youtube.com/watch?v=G22G1k3G-kM
G5EG7ymPErw,Entertainment,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.9180294396079669,https://www.youtube.com/watch?v=G5EG7ymPErw
vrygmNKYovo,Film & Animation,UC0jDoh3tVXCaqJ6oTve8ebA,0,0.7428607627011276,https://www.youtube.com/watch?v=vrygmNKYovo
TDJzHBM94VU,Entertainment,UC0jDoh3tVXCaqJ6oTve8ebA,1,0.8834701923286359,https://www.youtube.com/watch?v=TDJzHBM94VU
cIF2jOq6ynM,Film & Animation,UC0jDoh3tVXCaqJ6oTve8ebA,1,0.8939437416477417,https://www.youtube.com/watch?v=cIF2jOq6ynM
4M0RS4AW8U4,Entertainment,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.9828389830508475,https://www.youtube.com/watch?v=4M0RS4AW8U4
0uIcRFhALU4,Comedy,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.9158743952580448,https://www.youtube.com/watch?v=0uIcRFhALU4
sDiccD7xa5I,Film & Animation,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.9211567892764789,https://www.youtube.com/watch?v=sDiccD7xa5I
48JAWOTIjOA,Entertainment,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.9152973064543453,https://www.youtube.com/watch?v=48JAWOTIjOA
szpB_t3Cerk,Film & Animation,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.9180647566606441,https://www.youtube.com/watch?v=szpB_t3Cerk
gHWnW43KROA,Film & Animation,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.9262787550744249,https://www.youtube.com/watch?v=gHWnW43KROA
oIsCnxzssVA,Film & Animation,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.9054699135659457,https://www.youtube.com/watch?v=oIsCnxzssVA
0Wde8YnELiQ,Entertainment,UC0jDoh3tVXCaqJ6oTve8ebA,1,0.8887852211233439,https://www.youtube.com/watch?v=0Wde8YnELiQ
Mx6J5xE6M1Q,Entertainment,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.9100540266756711,https://www.youtube.com/watch?v=Mx6J5xE6M1Q
clAG9rMMQbg,Film & Animation,UC0jDoh3tVXCaqJ6oTve8ebA,1,0.8613796565043755,https://www.youtube.com/watch?v=clAG9rMMQbg
fFr8-kvbTuI,Film & Animation,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.9675748457744253,https://www.youtube.com/watch?v=fFr8-kvbTuI
dOw0uwkYo3k,Film & Animation,UC0jDoh3tVXCaqJ6oTve8ebA,1,0.865394689679892,https://www.youtube.com/watch?v=dOw0uwkYo3k
4Wy4-r549lY,Entertainment,UC0jDoh3tVXCaqJ6oTve8ebA,1,0.8883115174636584,https://www.youtube.com/watch?v=4Wy4-r549lY
q3_RfFFKMeY,Film & Animation,UC0jDoh3tVXCaqJ6oTve8ebA,1,0.86624119133094,https://www.youtube.com/watch?v=q3_RfFFKMeY
HUPB01vy5E4,Entertainment,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.9144765374273571,https://www.youtube.com/watch?v=HUPB01vy5E4
FCDXZhfepNI,Comedy,UC0jDoh3tVXCaqJ6oTve8ebA,1,0.8822547417773673,https://www.youtube.com/watch?v=FCDXZhfepNI
v3Knz7PHmrI,Film & Animation,UC0jDoh3tVXCaqJ6oTve8ebA,1,0.8896448945188913,https://www.youtube.com/watch?v=v3Knz7PHmrI
ES7WDcrlkek,Entertainment,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.9001779494169317,https://www.youtube.com/watch?v=ES7WDcrlkek
c2UsMKE6t2o,Film & Animation,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.9060470676432747,https://www.youtube.com/watch?v=c2UsMKE6t2o
aKIM1IDTYvo,Film & Animation,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.9170233932232003,https://www.youtube.com/watch?v=aKIM1IDTYvo
Ha_6LqzXJSo,Entertainment,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.9219979551746718,https://www.youtube.com/watch?v=Ha_6LqzXJSo
Eqx90_j2moc,Entertainment,UC0jDoh3tVXCaqJ6oTve8ebA,1,0.8675564937709332,https://www.youtube.com/watch?v=Eqx90_j2moc
tsYwhgUw43s,Film & Animation,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.9200410221348603,https://www.youtube.com/watch?v=tsYwhgUw43s
KKIkohI2Ov4,Entertainment,UC0jDoh3tVXCaqJ6oTve8ebA,2,0.9151395372610488,https://www.youtube.com/watch?v=KKIkohI2Ov4
